id,confidence,xmin,ymin,xmax,ymax
Faces0.xml,1,107,76,237,244
Faces1.xml,1,199,60,321,202
Faces10.xml,1,148,40,311,231
Faces100.xml,1,109,37,172,131
Faces101.xml,1,11,99,259,434
Faces103.xml,1,72,121,253,341
Faces104.xml,1,94,63,236,216
Faces106.xml,1,155,71,309,251
Faces108.xml,1,103,110,257,257
Faces109.xml,1,207,68,320,194
Faces110.xml,1,73,108,276,306
Faces111.xml,1,90,191,272,422
Faces112.xml,1,96,99,217,269
Faces115.xml,1,77,52,256,273
Faces116.xml,1,181,49,247,126
Faces118.xml,1,90,48,153,126
Faces12.xml,1,130,95,259,240
Faces120.xml,1,66,122,225,322
Faces121.xml,1,157,64,262,191
Faces122.xml,1,50,120,291,403
Faces124.xml,1,45,81,262,351
Faces125.xml,1,74,69,222,283
Faces126.xml,1,88,149,288,358
Faces127.xml,1,65,62,273,380
Faces128.xml,1,94,36,173,123
Faces13.xml,1,72,102,219,276
Faces131.xml,1,73,82,184,247
Faces132.xml,1,78,52,155,167
Faces133.xml,1,125,65,203,160
Faces134.xml,1,140,48,260,182
Faces135.xml,1,163,58,253,152
Faces136.xml,1,33,69,285,343
Faces138.xml,1,128,67,202,157
Faces139.xml,1,186,52,302,217
Faces14.xml,1,125,96,326,424
Faces141.xml,1,160,64,273,208
Faces142.xml,1,168,293,264,424
Faces143.xml,1,106,63,171,170
Faces147.xml,1,165,81,248,178
Faces148.xml,1,119,94,252,292
Faces149.xml,1,219,15,273,93
Faces15.xml,1,109,84,254,265
Faces150.xml,1,172,90,269,204
Faces152.xml,1,215,81,299,178
Faces154.xml,1,94,87,212,230
Faces157.xml,1,56,114,263,350
Faces159.xml,1,166,136,278,283
Faces162.xml,1,29,107,181,284
Faces165.xml,1,215,182,320,281
Faces167.xml,1,194,59,269,147
Faces169.xml,1,225,75,364,255
Faces17.xml,1,152,66,245,180
Faces172.xml,1,157,83,264,201
Faces173.xml,1,109,36,196,145
Faces174.xml,1,264,59,384,240
Faces175.xml,1,90,139,287,403
Faces176.xml,1,167,25,251,150
Faces177.xml,1,30,108,256,356
Faces179.xml,1,35,98,253,407
Faces180.xml,1,134,35,228,168
Faces182.xml,1,77,60,148,138
Faces183.xml,1,84,94,204,252
Faces187.xml,1,74,110,259,344
Faces188.xml,1,91,68,236,242
Faces189.xml,1,187,43,316,222
Faces190.xml,1,161,90,358,318
Faces193.xml,1,146,66,251,179
Faces194.xml,1,72,171,191,300
Faces195.xml,1,72,118,271,398
Faces2.xml,1,124,62,243,210
Faces20.xml,1,116,61,191,148
Faces201.xml,1,110,34,174,125
Faces202.xml,1,59,106,217,291
Faces203.xml,1,89,124,240,298
Faces204.xml,1,65,63,293,351
Faces207.xml,1,193,47,262,127
Faces208.xml,1,251,58,387,234
Faces21.xml,1,99,81,240,247
Faces210.xml,1,109,74,219,200
Faces211.xml,1,234,61,322,168
Faces212.xml,1,110,69,257,223
Faces213.xml,1,115,67,204,180
Faces214.xml,1,83,116,246,320
Faces216.xml,1,71,45,181,179
Faces217.xml,1,136,122,293,280
Faces218.xml,1,76,59,241,285
Faces220.xml,1,114,122,185,221
Faces222.xml,1,88,43,164,137
Faces223.xml,1,55,78,252,313
Faces225.xml,1,108,99,228,228
Faces226.xml,1,109,49,173,124
Faces229.xml,1,62,30,136,130
Faces230.xml,1,104,89,196,195
Faces231.xml,1,73,96,226,280
Faces233.xml,1,143,78,252,206
Faces234.xml,1,37,89,279,402
Faces235.xml,1,200,88,268,161
Faces238.xml,1,66,85,229,290
Faces239.xml,1,170,126,298,276
Faces240.xml,1,281,59,357,154
Faces243.xml,1,160,59,228,143
Faces245.xml,1,120,39,202,151
Faces248.xml,1,163,62,259,196
Faces251.xml,1,64,40,202,198
Faces252.xml,1,197,73,270,160
Faces254.xml,1,129,75,209,185
Faces255.xml,1,166,62,247,160
Faces258.xml,1,110,196,187,272
Faces259.xml,1,62,111,311,423
Faces26.xml,1,118,224,192,331
Faces261.xml,1,68,74,238,327
Faces262.xml,1,166,76,270,211
Faces263.xml,1,155,57,262,163
Faces268.xml,1,128,46,198,130
Faces270.xml,1,134,67,252,210
Faces271.xml,1,94,67,218,209
Faces273.xml,1,171,86,270,186
Faces275.xml,1,203,57,306,260
Faces277.xml,1,54,116,217,289
Faces278.xml,1,234,76,304,167
Faces280.xml,1,107,54,214,200
Faces282.xml,1,130,85,234,194
Faces283.xml,1,174,127,297,273
Faces286.xml,1,95,108,298,382
Faces287.xml,1,219,55,271,141
Faces288.xml,1,196,64,316,188
Faces289.xml,1,80,114,271,298
Faces290.xml,1,62,82,216,277
Faces291.xml,1,140,225,285,411
Faces292.xml,1,116,44,194,132
Faces293.xml,1,104,81,174,173
Faces294.xml,1,165,54,309,234
Faces295.xml,1,37,171,234,374
Faces298.xml,1,168,91,262,223
Faces3.xml,1,66,131,234,309
Faces30.xml,1,51,81,239,293
Faces301.xml,1,70,62,245,265
Faces302.xml,1,75,92,230,290
Faces307.xml,1,238,49,333,155
Faces308.xml,1,255,40,303,103
Faces31.xml,1,38,58,189,228
Faces310.xml,1,73,108,276,345
Faces311.xml,1,222,141,351,269
Faces313.xml,1,85,63,208,226
Faces315.xml,1,64,97,248,334
Faces316.xml,1,31,84,246,295
Faces317.xml,1,29,65,152,207
Faces318.xml,1,158,47,245,151
Faces319.xml,1,196,70,302,193
